"","peak_id","peak_name","peak_alternative_name","height_metres","climbing_status","first_ascent_year","first_ascent_country","first_ascent_expedition_id"
"104","KTEG","Kangtega","Kantega, Khangtega, Kang Taiga",6783,"Climbed",1963,"New Zealand, USA","KTEG63101"
"105","KTSU","Kangtsune","Kangchunne, Kanchauni Lekh",6444,"Unclimbed",NA,NA,NA
"106","KUSU","Kusum Kanguru","Kusum Kang, Lamu",6370,"Climbed",1981,"New Zealand","KUSU81302"
"107","KWAN","Kwangde",NA,6186,"Climbed",1978,"Japan","KWAN78301"
"108","LAMJ","Lamjung Himal",NA,6983,"Climbed",1974,"UK","LAMJ74101"
"109","LANG","Langtang Lirung","Langtang",7227,"Climbed",1978,"Japan, Nepal","LANG78301"
"110","LANR","Langtang Ri",NA,7205,"Climbed",1981,"Japan, Nepal","LANR81301"
"111","LEON","Leonpo Gang","Dorje Pahad, Big White Peak",6979,"Climbed",1962,"Japan","LEON62101"
"112","LHAS","Lha Shamma","Lhasharma, Pinnacle Peak",6412,"Climbed",1962,"UK, Nepal","LHAS62101"
"113","LHOT","Lhotse",NA,8516,"Climbed",1956,"Switzerland","LHOT56101"
"114","MUKT","Mukut Himal","Mukot Himal, Langru",6087,"Climbed",1967,"Netherlands","MUKT67301"
"115","LNPO","Langpo","Longpo",6965,"Climbed",1909,"UK","LNPO09301"
"116","LOBE","Lobuje East","Lobuche East",6090,"Climbed",1984,"USA, Nepal","LOBE84101"
"117","LOBW","Lobuje West","Lobuche West",6135,"Climbed",1984,"Japan","LOBW84301"
"118","LSHR","Lhotse Shar","Lhotse II",8382,"Climbed",1970,"Austria","LSHR70101"
"119","LSIS","Langshisa Ri","Langsisa Ri",6412,"Climbed",1982,"Japan, Nepal","LSIS82101"
"120","MACH","Machhapuchhare",NA,6993,"Unclimbed",NA,NA,NA
"121","BTAK","Bhairab Takura","Madiya",6799,"Climbed",1960,"Japan, Nepal","BTAK60101"
"122","MAK2","Makalu II","Kangchungtse",7678,"Climbed",1954,"UK, Nepal","MAK254301"
"123","MAKA","Makalu",NA,8485,"Climbed",1955,"France","MAKA55101"
"124","MANA","Manaslu","Kutang I, Peak 30",8163,"Climbed",1956,"Japan, Nepal","MANA56101"
"125","MANN","Manaslu North","Manaslu II",6994,"Climbed",1964,"Netherlands, Austria, Nepal","MANN64301"
"126","MANP","Manapathi",NA,6380,"Climbed",1956,"Argentina, Nepal","MANP56101"
"127","MARD","Mardi Himal",NA,5553,"Climbed",1962,"UK, Nepal","MARD62101"
"128","MERA","Mera Peak","""False"" Mera Peak",6470,"Climbed",1953,"UK, Nepal","MERA53101"
"129","MING","Mingbo Ri",NA,6207,"Unclimbed",NA,NA,NA
"130","NALA","Nalakankar North",NA,6062,"Climbed",2000,"Japan, Nepal","NALA00201"
"131","NAMP","Nampa","Chisel Peak",6729,"Climbed",1972,"Japan","NAMP72101"
"132","NCHU","Nupchu","Sharphu IV",6172,"Climbed",1962,"Japan","SPH462101"
"133","NEMJ","Nemjung",NA,7140,"Climbed",1983,"Japan, Nepal","NEMJ83301"
"134","NEPA","Nepal Peak",NA,7177,"Climbed",1930,"Austria","NEPA30101"
"135","NGO2","Ngojumba Kang II",NA,7743,"Climbed",1965,"Japan, Nepal","NGO265101"
"136","NGOJ","Ngojumba Kang I","Ngozumba Kang, Ngozumba Ri, Tenzing Peak",7916,"Climbed",1982,"S Korea, Nepal","NGOJ82302"
"137","NILC","Nilgiri Central",NA,6940,"Climbed",1979,"Japan","NILC79101"
"138","NILN","Nilgiri North",NA,7061,"Climbed",1962,"Netherlands, France, Nepal","NILN62301"
"139","NILS","Nilgiri South",NA,6839,"Climbed",1978,"Japan","NILS78301"
"140","NUMB","Numbur",NA,6958,"Climbed",1963,"Japan, Nepal","NUMB63101"
"141","NUPT","Nuptse",NA,7864,"Climbed",1961,"UK, Nepal","NUPT61101"
"142","OHMI","Ohmi Kangri",NA,6839,"Climbed",1985,"Switzerland","OHMI85101"
"143","OMBK","Ombak Himal",NA,6300,"Unclimbed",NA,NA,NA
"144","PALD","Paldor","Bharange",5903,"Climbed",1949,"UK, Nepal","PALD49201"
"145","PANG","Pangbuk Ri",NA,6625,"Climbed",2011,"USA","PANG11301"
"146","PARC","Parchamo","Parchermo, Parchemuche, Pachermo",6279,"Climbed",1955,"UK","PARC55101"
"147","PATR","Patrasi Himal","Kande Hiunchuli North",6450,"Unclimbed",NA,NA,NA
"148","PETH","Pethangtse",NA,6739,"Climbed",1954,"New Zealand, Nepal","PETH54101"
"149","PHUR","Phurbi Chhyachu","Phurbi Ghyachu",6637,"Climbed",1982,"Japan, Nepal","PHUR82101"
"150","PIMU","Pimu","Pamalka",6344,"Climbed",1955,"UK","PIMU55101"
"151","PISA","Pisang","Jong Ri",6091,"Climbed",1955,"W Germany","PISA55201"
"152","PK29","Peak 29","Ngadi Chuli, Dakura, Dr Harka Gurung Chuli",7871,"Climbed",1979,"Poland","PK2979101"
"153","POIN","Pointed Peak",NA,5850,"Climbed",1953,"UK","POIN53101"
"154","POKA","Pokalde",NA,5780,"Climbed",1953,"UK","POKA53101"
"155","OMBG","Ombigaichen","Puma Dablam",6340,"Climbed",1960,"New Zealand, Nepal","OMBG60301"
"156","PUMO","Pumori",NA,7138,"Climbed",1962,"W Germany, Switzerland","PUMO62101"
"157","PUTH","Putha Hiunchuli","Dhaulagiri VII",7246,"Climbed",1954,"UK, Nepal","PUTH54301"
"158","PYRM","Pyramid Peak","Pathibhara Chuli, Pathibhara Khas",7140,"Climbed",1993,"Japan, India","PYRM93101"
"159","RAKS","Raksha Urai","Raksha Urai III",6609,"Climbed",2003,"France, Nepal","RAKS03301"
"160","RAMD","Ramdung","Ramdong Go",5900,"Climbed",1952,"UK, Nepal","RAMD52301"
"161","RATH","Rathong",NA,6682,"Climbed",1964,"India","RATH64301"
"162","ROCN","Roc Noir","Khangsar Kang, Khang Sar Khang",7485,"Climbed",1969,"W Germany","ROCN69101"
"163","ROKA","Rokapi","Kapchuli",6468,"Climbed",1977,"UK","ROKA77301"
"164","SAIE","Saipal East Humla",NA,6925,"Climbed",1990,"Switzerland, Nepal","SAIP90301"
"165","SAIP","Saipal",NA,7030,"Climbed",1963,"Japan, Nepal","SAIP63301"
"166","SHAR","Shartse","Peak 38, Shanti Shikhar",7591,"Unclimbed",NA,NA,NA
"167","SHA2","Shartse II","Junction Peak",7457,"Climbed",1974,"Austria, W Germany","SHA274101"
"168","SHEY","Shey Shikhar","Junction Peak",6139,"Climbed",2007,"Japan","SHEY07201"
"169","SING","Singu Chuli","Fluted Peak",6501,"Climbed",1957,"UK","SING57101"
"170","SISN","Sisne Himal","Hiunchuli Patan",5911,"Climbed",2013,"Nepal, USA","SISN13101"
"171","SITA","Sita Chuchura",NA,6611,"Climbed",1970,"Japan, Nepal","SITA70301"
"172","SNOW","Snow Peak",NA,6530,"Unclimbed",NA,NA,NA
"173","SPHN","Sphinx","Pathibhara Phurba, Pathibhara East",6825,"Climbed",1936,"UK","SPHN36101"
"174","SPH1","Sharphu I","Tanga I",6433,"Climbed",1963,"Japan","SPH163301"
"175","SURM","Surma-Sarovar North",NA,6564,"Unclimbed",NA,NA,NA
"176","TAWO","Tawoche","Taboche",6495,"Climbed",1974,"France","TAWO74101"
"177","KIRA","Kirat Chuli","Tent Peak",7362,"Climbed",1939,"Switzerland, Germany","KIRA39101"
"178","THAM","Thamserku","Tramserku",6618,"Climbed",1964,"New Zealand","THAM64301"
"179","THAR","Tharpu Chuli","Tent Peak",5695,"Climbed",1964,"Japan","THAR64301"
"180","TILI","Tilicho","Tilitso",7134,"Climbed",1978,"France","TILI78301"
"181","TLNG","Talung",NA,7349,"Climbed",1964,"W Germany, Nepal","TLNG64101"
"182","TONG","Tongu",NA,6187,"Climbed",1959,"USA","TONG59301"
"183","TRIP","Tripura Hiunchuli","Tripura Thumba, Hanging Glacier Peak",6553,"Climbed",1986,"Japan, Nepal","TRIP86301"
"184","TSOK","Tso Karpo Kang","Tso Karpo Khang",6556,"Climbed",1971,"Japan","TSOK71301"
"185","TUKU","Tukuche",NA,6920,"Climbed",1970,"Japan","TUKU70101"
"186","URKM","Urkinmang","Buddha",6143,"Climbed",1964,"Japan, Nepal","URKM64101"
"187","ANID","Anidesh Chuli","White Wave Peak",6808,"Unclimbed",NA,NA,NA
"188","TSUR","Tsaurabong Peak","Chara Ban Peak, White Peak",6395,"Climbed",1974,"Japan, Nepal","TSUR74101"
"189","YALU","Yalung Kang","Yalungkar",8505,"Climbed",1973,"Japan","YALU73101"
"190","PASA","Pasang Lhamu Chuli","Jasemba",7350,"Climbed",1986,"Japan","PASA86301"
"191","RATC","Ratna Chuli",NA,7035,"Climbed",1996,"Japan, Nepal","RATC96301"
"192","KANT","Kanti Himal","Ronglai Kangri, Kaqur Kangri, Kubi Grangri",6850,"Climbed",2002,"Japan, Nepal","KANT02301"
"193","RAMT","Ramtang",NA,6601,"Climbed",1930,"Austria, UK","RAMT30101"
"194","LING","Lingtren",NA,6713,"Climbed",1935,"UK","LING35201"
"195","TENG","Tengkoma","Tang Kongma",6215,"Climbed",1949,"Switzerland, Nepal","TENG49101"
"196","RAMC","Ramtang Chang","Wedge Peak, Chang Himal",6802,"Climbed",1974,"Yugoslavia","RAMC74301"
"197","CHRE","Churen Himal East",NA,7371,"Climbed",1970,"S Korea, Nepal","CHRE70101"
"198","CHRW","Churen Himal West",NA,7371,"Climbed",1970,"Japan, Nepal","CHRW70301"
"199","CHRI","Chhukung Ri",NA,5550,"Climbed",1965,"Netherlands","CHRI65101"
"200","KTOK","Kangtokal","Khang Tokal",6294,"Climbed",1962,"Japan, Nepal","KTOK62101"
"201","SRKU","Serku Dolma",NA,6227,"Climbed",1973,"Japan, Nepal","SRKU73301"
"202","NALS","Nalakankar South",NA,6024,"Climbed",2000,"Japan, Nepal","NALS00201"
"203","CHWT","Changwathang",NA,6130,"Climbed",2000,"Japan, Nepal","CHWT00201"
"204","TAKP","Takphu Himal",NA,6395,"Climbed",2018,"UK, Germany","TAKP18301"
"205","MALA","Malanphulan","Melanphulan, Hinku Ri",6573,"Climbed",2000,"USA","MALA00101"
"206","LHOM","Lhotse Middle","Lhotse Intermediate",8410,"Climbed",2001,"Russia","LHOM01101"
"207","SIMN","Simnang Himal","P2, Simnang Himal East",6251,"Climbed",2001,"Ukraine","SIMN01101"
"208","HCHI","Hungchhi","Hunchhi, Chakung, Gyubanare Kang, Gyuba Tshomotse",7029,"Climbed",2003,"Japan, Nepal","HCHI03102"
"209","LAMP","Lampo","Langpo Kangri, Ganesh VI",6648,"Unclimbed",NA,NA,NA
"210","CHUK","Chhukung Tse","Chhukung Chuli",5833,"Climbed",1953,"UK, Nepal","CHUK53101"
"211","DZAN","Dzanye","Dzanaye",6581,"Climbed",1949,"Switzerland","DZAN49101"
"212","GAUG","Gaugiri",NA,6110,"Climbed",2002,"USA","GAUG02101"
"213","TKPO","Tengkangpoche","Thyangmoche",6482,"Climbed",1984,"UK, USA","TKPO84301"
"214","ARNK","Arniko Chuli","Araniko Chuli",6034,"Climbed",2002,"Japan, Nepal","ARNK02201"
"215","SARI","Saribung","Selibung",6328,"Climbed",2003,"USA","SARI03301"
"216","GHEN","Ghenge Liru","Ghenye Lirung, Langtang II",6596,"Climbed",1963,"UK, Nepal","GHEN63101"
"217","NAUL","Naulekh",NA,6340,"Climbed",1954,"New Zealand","NAUL54101"
"218","CHEK","Chekigo",NA,6121,"Climbed",2005,"UK, Switzerland","CHEK05101"
"219","KTUN","Khatung Khang",NA,6484,"Climbed",1956,"Switzerland","KTUN56101"
"220","CHAG","Chago",NA,6893,"Climbed",1954,"New Zealand, Nepal","CHAG54101"
"221","NUMR","Numri",NA,6635,"Climbed",2002,"Germany","NUMR02301"
"222","PK41","Peak 41","""True"" Mera Peak",6648,"Climbed",2002,"Slovenia","PK4102301"
"223","KYAZ","Kyazo Ri","Kyajo Ri",6151,"Climbed",2002,"UK, France","KYAZ02301"
"224","PAND","Pandra",NA,6670,"Climbed",2002,"Denmark","PAND02301"
"225","DANG","Danga",NA,6220,"Climbed",2002,"Denmark","DANG02301"
"226","POKR","Pokharkang","Pokhar Khang",6372,"Climbed",2002,"UK, Nepal","POKR02301"
"227","NAG1","Nangpai Gosum I","Nagpai Gosum I, Cho Aui",7321,"Climbed",2017,"Germany","NAG117301"
"228","KGRI","Khangri Shar",NA,6792,"Unclimbed",NA,NA,NA
"229","KGRW","Khangri West",NA,6658,"Unclimbed",NA,NA,NA
"230","PURB","Purbung Himal","Putrung",6500,"Unclimbed",NA,NA,NA
"231","TASH","Tashi Kang","Tashi Khang",6386,"Climbed",2002,"Japan, Nepal","TASH02201"
"232","TENR","Tengi Ragi Tau","Agole, Angole",6938,"Climbed",2002,"Japan, Nepal","TENR02401"
"233","KYAS","Kyashar","Peak 43, Tangnag Tseng",6770,"Climbed",2003,"UK, Austria, Swiss","KYAS03301"
"234","NREK","Nirekha",NA,6159,"Climbed",NA,NA,NA
"235","NORB","Norbu Kang","Norbu Khang",6085,"Climbed",2003,"Japan, Nepal","NORB03201"
"236","LNKE","Lunchhung Kamo East",NA,6024,"Climbed",1999,"Japan, Nepal","LNKE99201"
"237","LIK1","Linkhu Chuli Shar","Bigphera-Go Shar, Pigpferago Shar, Linkhu Chuli I",6719,"Climbed",2013,"Germany","LIK113301"
"238","LIK2","Linkhu Chuli Nup","Bigphera-Go Nup, Pigpferago Nup, Linkhu Chuli II",6659,"Climbed",1960,"France, Nepal","LIK260301"
"239","PANT","Panalotapa","Paniyo Tapa, Paniyo Tippa",6687,"Climbed",1955,"UK","PANT55101"
"240","SHAL","Shalbachum","Salbachum, Phrul Rangtshan Ri",6707,"Climbed",1959,"Japan, Nepal","SHAL59301"
"241","KHUM","Khumbutse",NA,6639,"Unclimbed",NA,NA,NA
"242","BOKT","Boktoh","Bokta",6114,"Climbed",1991,"Yugoslavia","BOKT91101"
"243","MOJC","Mojca","Mojka",6024,"Climbed",1974,"Yugoslavia","MOJC74301"
"244","PLNG","Palung","Palung Ri",7012,"Climbed",1952,"New Zealand","PLNG52101"
"245","TUTS","Tutse","Peak 6, Nephu",6758,"Unclimbed",NA,NA,NA
"246","NUPE","Nuptse East I",NA,7795,"Climbed",2003,"Russia","NUPE03301"
"247","AMOT","Amotsang","Amatson",6393,"Unclimbed",NA,NA,NA
"248","YANS","Yansa Tsenji","Dragpoche, Dhagpache",6567,"Unclimbed",NA,NA,NA
"249","HIMJ","Himjung","Nemjung Goth",7092,"Climbed",2012,"S Korea","HIMJ12301"
"250","AMPH","Amphu I",NA,6740,"Climbed",2013,"S Korea","AMPH13301"
"251","CHAB","Chabuk","Tsajirip",6792,"Unclimbed",NA,NA,NA
"252","CHAK","Chako",NA,6704,"Climbed",2007,"Japan, Nepal","CHAK07201"
"253","DOMK","Dome Kang",NA,7264,"Climbed",2009,"Spain, Nepal","DOMK09101"
"254","GHAN","Ghhanyala Hies",NA,6744,"Unclimbed",NA,NA,NA
"255","HUNK","Hunku",NA,6119,"Climbed",2012,"UK","HUNK12302"
"256","JANK","Janak Chuli","Janak, Outlier",7041,"Climbed",2006,"Slovenia","JANK06101"
"257","KABS","Kabru South",NA,7318,"Climbed",1994,"India","KABS94101"
"258","KABR","Kabru Main","Kabru Central",7412,"Climbed",1994,"India","KABR94101"
"259","LASH","Lashar I","Loshar I",6842,"Climbed",2005,"Slovenia","LASH05301"
"260","LAS2","Lashar II","Loshar II",6803,"Unclimbed",NA,NA,NA
"261","NAG2","Nangpai Gosum II","Nagpai Gosum II, Chamar",7287,"Unclimbed",NA,NA,NA
"262","NANG","Nangamari I",NA,6547,"Climbed",2010,"Australia","NANG10301"
"263","PANB","Panbari",NA,6905,"Climbed",2006,"Japan","PANB06301"
"264","PHNH","Phungi Himal",NA,6538,"Climbed",2017,"Russia","PHNH17301"
"265","MARI","Mariyang",NA,6528,"Unclimbed",NA,NA,NA
"266","TKRG","Takargo","Dragker-go",6771,"Climbed",2010,"USA","TKRG10101"
"267","THUL","Thulagi","Mansiri Himal",7059,"Climbed",2015,"Russia","THUL15301"
"268","JOMS","Jomsom Himal","Jomsang Himal",6335,"Climbed",2003,"France, Nepal","JOMS03301"
"269","BAMO","Bamongo",NA,6406,"Climbed",2013,"Nepal, China","BAMO13301"
"270","CHAW","Chaw Peak","Chaw East",6404,"Unclimbed",NA,NA,NA
"271","DING","Dingjung North","Kangkuru, Rima Mancho",6249,"Climbed",1955,"UK","DING55101"
"272","KNAG","Kang Nagchugo","Khang Nagchugo",6737,"Climbed",2008,"USA","KNAG08301"
"273","KBON","Konabon","Kambon",6570,"Unclimbed",NA,NA,NA
"274","KHAM","Khamjung","Khumjung, Khamjungar",6759,"Climbed",1982,"Japan",NA
"275","KYR1","Kyungka Ri 1","Kyungya Ri 1",6599,"Climbed",2017,"S Korea","KYR117301"
"276","KYR2","Kyungka Ri 2","Kyungya Ri 2",6506,"Unclimbed",NA,NA,NA
"277","KOJI","Kojichuwa Chuli",NA,6439,"Climbed",2010,"Japan","KOJI10101"
"278","CHIV","Chhiv Himal","Chhib Himal",6650,"Climbed",2004,"Japan","CHIV04301"
"279","LMOC","Langmoche Ri",NA,6552,"Climbed",2012,"USA","LMOC12301"
"280","LCHA","Lachama Chuli","Kubi Kangri, Kubi Dongdong",6721,"Climbed",2007,"Japan","LCHA07301"
"281","PAN1","Panpoche 1","Pang Phunch 1, Kutang Himal",6620,"Unclimbed",NA,NA,NA
"282","PAN2","Panpoche 2","Pang Phunch 2",6504,"Unclimbed",NA,NA,NA
"283","PHOL","Phole",NA,6645,"Unclimbed",NA,NA,NA
"284","PHUK","Phu Kang","Phu Khang",6694,"Unclimbed",NA,NA,NA
"285","LNGK","Langchung Khang","Langpo Chung",6786,"Unclimbed",NA,NA,NA
"286","PK04","Peak 4","Shershon Ri",6736,"Unclimbed",NA,NA,NA
"287","NAM2","Nampa II",NA,6585,"Unclimbed",NA,NA,NA
"288","NAM3","Nampa III","Nampa Chuli",6611,"Unclimbed",NA,NA,NA
"289","NAMS","Nampa South",NA,6130,"Unclimbed",NA,NA,NA
"290","SOBI","Sobithongie",NA,6652,"Unclimbed",NA,NA,NA
