"","peak_id","peak_name","peak_alternative_name","height_metres","climbing_status","first_ascent_year","first_ascent_country","first_ascent_expedition_id"
"358","RAUN","Raungsiyar",NA,6224,"Climbed",2015,"Nepal","RAUN15301"
"359","LDAK","Langdak",NA,6220,"Climbed",2015,"Nepal","LDAK15301"
"360","TKRE","Takargo East","Thakar Go East, Dragker-go East",6152,"Climbed",2015,"Nepal","TKRE15301"
"361","OMIT","Omitso Go","Omi Tso Go",6332,"Unclimbed",NA,NA,NA
"362","CBAM","Chhopa Bamare","Chomo Pamari",6109,"Climbed",2019,"USA, France","CBAM18401"
"363","YALW","Yalung Kang West",NA,8077,"Unclimbed",NA,NA,NA
"364","KANN","Kangchenjunga North",NA,7938,"Unclimbed",NA,NA,NA
"365","KBNE","Kangbachen East","Kambachen East",7780,"Unclimbed",NA,NA,NA
"366","HERZ","Herzog Peak","Khangsar Khang West",7555,"Climbed",NA,NA,NA
"367","GANW","Gangapurna West","Lachenal Peak, Asapurna",7140,"Unclimbed",NA,NA,NA
"368","CHMR","Chamar","Shringi Himal",7161,"Unclimbed",NA,NA,NA
"369","NGAP","Nepal Gap Peak","Nepal Gyap Peak",7007,"Unclimbed",NA,NA,NA
"370","GAUS","Gaurishankar South","Gauri",7010,"Climbed",1979,"UK","GAUS79301"
"371","BURK","Burke Kang","Burke Khang",6942,"Climbed",2017,"Ireland, Nepal","BURK17301"
"372","HMLE","Himlung East",NA,6932,"Climbed",2017,"France, Nepal","HMLE17101"
"373","YNGS","Yangra Kangri South","Yangra South, Ganesh I South",6863,"Unclimbed",NA,NA,NA
"374","NUPL","Nup La Kang","Nupla Khang",6861,"Climbed",2018,"USA, Norway","NUPL18301"
"375","CHUM","Chumbu",NA,6859,"Unclimbed",NA,NA,NA
"376","PHUG","Phu Kang Go","Phu Khang Go, Athahra Saya Khola Himal",6767,"Climbed",2011,"France, Belgium","PHUG11301"
"377","GURA","Guras",NA,6744,"Unclimbed",NA,NA,NA
"378","THRK","Tharke Kang","Tharke Khang",6710,"Climbed",2017,"USA, Nepal","THRK17301"
"379","HUGO","Hulang Go",NA,6687,"Unclimbed",NA,NA,NA
"380","SHNW","Shershon Northwest",NA,6682,"Climbed",1980,"UK, France","SHNW80301"
"381","AGLE","Agole East","Angole East",6675,"Unclimbed",NA,NA,NA
"382","ROLK","Rolwaling Kang","Rolwaling Khang",6664,"Climbed",2016,"Japan","ROLK16301"
"383","YARW","Yarwa",NA,6644,"Unclimbed",NA,NA,NA
"384","YANG","Yangri","Jugal",6535,"Unclimbed",NA,NA,NA
"385","LCHN","Lachama North",NA,6628,"Unclimbed",NA,NA,NA
"386","CHNG","Changdi",NA,6623,"Unclimbed",NA,NA,NA
"387","GOLD","Goldum Peak","Pangri Goldumba",6632,"Unclimbed",NA,NA,NA
"388","THOC","Thoche Go",NA,6602,"Unclimbed",NA,NA,NA
"389","KCHS","Kangchung Shar","Khangchung, Kangcho Shar, UIAA Peak",6063,"Climbed",1984,"Yugoslavia","KCHS84301"
"390","PHUN","Phu Kang North","Phu Khang North",6580,"Unclimbed",NA,NA,NA
"391","PTHE","Pethangtse East",NA,6572,"Climbed",2008,"UK","PTHE08101"
"392","PHNG","Phungi",NA,6524,"Unclimbed",NA,NA,NA
"393","KNTE","Kanti Himal East",NA,6516,"Unclimbed",NA,NA,NA
"394","JARK","Jarkya",NA,6473,"Unclimbed",NA,NA,NA
"395","MARW","Mariyang West",NA,6455,"Unclimbed",NA,NA,NA
"396","MAYT","Mayonthang Kang","Mayun Thang Khang",6449,"Unclimbed",NA,NA,NA
"397","LNJU","Langju","Lajo Dada",6426,"Climbed",2017,"Japan","LNJU17301"
"398","JYAC","Jyachhung",NA,6338,"Unclimbed",NA,NA,NA
"399","GYLA","Gyala",NA,6363,"Unclimbed",NA,NA,NA
"400","DOLM","Dolma Khang","Tseringma",6332,"Climbed",1980,"Australia, Nepal","DOLM80101"
"401","KAIP","Kaipuchonam",NA,6329,"Unclimbed",NA,NA,NA
"402","LDNG","Langdung","Ripumutse",6326,"Climbed",2017,"Nepal","LDNG17401"
"403","DZA2","Dzanye II",NA,6318,"Climbed",2015,"Japan","DZA215301"
"404","PAMA","Pama Himal",NA,6300,"Unclimbed",NA,NA,NA
"405","PERH","Peri Himal",NA,6296,"Unclimbed",NA,NA,NA
"406","TAKL","Takla Kang","Takla Khang",6276,"Unclimbed",NA,NA,NA
"407","KOGI","Kogi Khang North","Kogi Kang North",6275,"Unclimbed",NA,NA,NA
"408","ASAJ","Asajya Tuppa",NA,6265,"Unclimbed",NA,NA,NA
"409","KOJS","Kojichuwa South",NA,6264,"Unclimbed",NA,NA,NA
"410","PKAR","Pankar Himal",NA,6264,"Climbed",2018,"Japan","PKAR18101"
"411","SAUL","Saula",NA,6235,"Unclimbed",NA,NA,NA
"412","YARA","Yala Chuli","Yara Chuli",6236,"Unclimbed",NA,NA,NA
"413","RHIM","Rhimbu",NA,6210,"Unclimbed",NA,NA,NA
"414","SANC","Sanctuary Peak",NA,6207,"Unclimbed",NA,NA,NA
"415","LASA","Lasa",NA,6189,"Unclimbed",NA,NA,NA
